240,IDXX,176,256,502570,216,37,Health Care,LOW,STABLE,ANY
241,IFF,122,151,929104,133,22,Materials,LOW,STABLE,ANY
242,ILMN,227,373,974131,305,48,Health Care,LOW,GROWTH,ANY
243,INCY,57,89,1663451,71,45,Health Care,LOW,GROWTH,BUDGET
244,INFO,45,56,1905762,52,22,Industrials,LOW,STABLE,BUDGET
245,INTC,42,58,25691701,50,30,Information Technology,HIGH,STABLE,BUDGET
246,INTU,171,272,1561556,215,47,Information Technology,LOW,GROWTH,ANY
247,IP,38,60,3059113,49,45,Materials,HIGH,GROWTH,BUDGET
248,IPG,20,26,4358303,23,27,Communication Services,HIGH,STABLE,BUDGET
249,IPGP,105,262,564571,172,91,Information Technology,LOW,GROWTH,ANY
250,IQV,92,146,1338186,120,45,Health Care,LOW,GROWTH,ANY
251,IR,80,115,1583098,97,36,Industrials,LOW,STABLE,BUDGET
252,IRM,30,37,1850130,34,21,Real Estate,LOW,STABLE,BUDGET
253,ISRG,412,589,764029,514,35,Health Care,LOW,STABLE,ANY
254,IT,114,161,617195,140,33,Information Technology,LOW,STABLE,ANY
255,ITW,118,160,1608591,140,30,Industrials,LOW,STABLE,ANY
256,IVZ,15,32,4665269,23,71,Financials,HIGH,GROWTH,BUDGET
257,JBHT,88,132,889788,113,38,Industrials,LOW,GROWTH,ANY
258,JCI,28,40,4950615,35,35,Industrials,HIGH,STABLE,BUDGET
259,JEC,55,82,1236164,68,40,Industrials,LOW,GROWTH,BUDGET
260,JEF,16,25,2234057,22,41,Financials,LOW,GROWTH,BUDGET
261,JKHY,117,164,536622,137,34,Information Technology,LOW,STABLE,ANY
262,JNJ,119,149,7336913,133,23,Health Care,HIGH,STABLE,ANY
263,JNPR,24,31,4410264,27,26,Information Technology,HIGH,STABLE,BUDGET
264,JPM,91,119,14551497,108,26,Financials,HIGH,STABLE,ANY
265,JWN,43,68,2759186,52,48,Consumer Discretionary,HIGH,GROWTH,BUDGET
266,K,53,75,2581157,64,34,Consumer Staples,HIGH,STABLE,BUDGET
267,KEY,14,22,11381729,19,44,Financials,HIGH,GROWTH,BUDGET
268,KEYS,51,92,1642127,65,64,Information Technology,LOW,GROWTH,BUDGET
269,KHC,32,65,7624628,52,64,Consumer Staples,HIGH,GROWTH,BUDGET
270,KIM,13,19,3851212,16,34,Real Estate,HIGH,STABLE,BUDGET
271,KLAC,81,126,1601186,105,43,Information Technology,LOW,GROWTH,ANY
272,KMB,97,125,2176778,111,25,Consumer Staples,LOW,STABLE,ANY
273,KMI,15,20,14388775,18,33,Energy,HIGH,STABLE,BUDGET
274,KMX,55,82,1752092,68,39,Consumer Discretionary,LOW,GROWTH,BUDGET
275,KO,41,51,13276519,46,20,Consumer Staples,HIGH,STABLE,BUDGET
276,KR,23,33,9212615,28,33,Consumer Staples,HIGH,STABLE,BUDGET
277,KSS,58,83,3529562,70,36,Consumer Discretionary,HIGH,STABLE,BUDGET
278,KSU,91,120,1113891,108,27,Industrials,LOW,STABLE,ANY
279,L,42,53,1215165,49,23,Financials,LOW,STABLE,BUDGET
280,LB,24,38,5010011,31,47,Consumer Discretionary,HIGH,GROWTH,BUDGET
281,LEG,33,47,1222744,42,32,Consumer Discretionary,LOW,STABLE,BUDGET
282,LEN,37,58,4120337,48,44,Consumer Discretionary,HIGH,GROWTH,BUDGET
283,LH,119,190,804346,163,44,Health Care,LOW,GROWTH,ANY
284,LIN,146,186,2467704,162,25,Materials,HIGH,STABLE,ANY
285,LKQ,23,40,2791740,30,56,Consumer Discretionary,HIGH,GROWTH,BUDGET
286,LLL,159,224,683340,200,33,Industrials,LOW,STABLE,ANY
287,LLY,77,132,7309247,105,52,Health Care,HIGH,GROWTH,ANY
288,LMT,241,362,1393551,309,39,Industrials,LOW,GROWTH,ANY
289,LNC,48,74,1788279,63,41,Financials,LOW,GROWTH,BUDGET
290,LNT,38,48,1586753,43,22,Utilities,LOW,STABLE,BUDGET
291,LOW,81,118,4980814,99,37,Consumer Discretionary,HIGH,STABLE,BUDGET
292,LRCX,123,213,2963833,168,54,Information Technology,HIGH,GROWTH,ANY
293,LUV,44,64,5270465,54,36,Industrials,HIGH,STABLE,BUDGET
294,LW,63,84,1457703,71,29,Consumer Staples,LOW,STABLE,BUDGET
295,LYB,78,119,2495711,99,42,Materials,HIGH,GROWTH,BUDGET
296,M,23,42,8881527,32,60,Consumer Discretionary,HIGH,GROWTH,BUDGET
297,MA,171,241,3794935,205,34,Information Technology,HIGH,STABLE,ANY
298,MAA,87,111,589823,100,24,Real Estate,LOW,STABLE,BUDGET
299,MAC,41,61,1125554,52,39,Real Estate,LOW,GROWTH,BUDGET
300,MAS,27,42,3872406,36,41,Industrials,HIGH,GROWTH,BUDGET
301,MAT,9,18,4747214,14,62,Consumer Discretionary,HIGH,GROWTH,BUDGET
302,MCD,153,192,3672321,171,23,Consumer Discretionary,HIGH,STABLE,ANY
303,MCHP,61,104,3101821,84,52,Information Technology,HIGH,GROWTH,BUDGET
304,MCK,106,161,1665448,130,42,Health Care,LOW,GROWTH,ANY
305,MCO,129,189,958020,166,36,Financials,LOW,STABLE,ANY
306,MDLZ,37,50,7617373,43,29,Consumer Staples,HIGH,STABLE,BUDGET
307,MDT,78,100,5284521,90,24,Health Care,HIGH,STABLE,BUDGET
308,MET,38,49,5932854,45,25,Financials,HIGH,STABLE,BUDGET
309,MGM,22,37,8838623,28,53,Consumer Discretionary,HIGH,GROWTH,BUDGET
310,MHK,109,247,1065315,166,83,Consumer Discretionary,LOW,GROWTH,ANY
311,MKC,100,156,1094240,128,44,Consumer Staples,LOW,GROWTH,ANY
312,MLM,151,233,762337,196,42,Materials,LOW,GROWTH,ANY
313,MMC,74,95,1758290,85,25,Financials,LOW,STABLE,BUDGET
314,MMM,177,222,2459293,203,22,Industrials,HIGH,STABLE,ANY
315,MNST,48,66,3530075,56,33,Consumer Staples,HIGH,STABLE,BUDGET
316,MO,42,66,9514346,56,42,Consumer Staples,HIGH,GROWTH,BUDGET
317,MOS,25,37,4081940,30,42,Materials,HIGH,GROWTH,BUDGET
318,MPC,54,88,6341455,71,48,Energy,HIGH,GROWTH,BUDGET
319,MRK,56,84,10718327,70,39,Health Care,HIGH,GROWTH,BUDGET
320,MRO,13,24,12342286,19,62,Energy,HIGH,GROWTH,BUDGET
321,MS,37,56,11250260,46,41,Financials,HIGH,GROWTH,BUDGET
322,MSCI,134,219,655797,167,51,Financials,LOW,GROWTH,ANY
323,MSFT,90,121,29898599,106,29,Information Technology,HIGH,STABLE,ANY
324,MSI,105,145,1025907,123,32,Information Technology,LOW,STABLE,ANY
325,MTB,134,189,890598,169,33,Financials,LOW,STABLE,ANY
326,MTD,501,750,169133,603,41,Health Care,LOW,GROWTH,ANY
327,MU,28,65,37690967,45,80,Information Technology,HIGH,GROWTH,BUDGET
328,MXIM,47,64,2686577,56,30,Information Technology,HIGH,STABLE,BUDGET
329,MYL,26,43,4872621,34,48,Health Care,HIGH,GROWTH,BUDGET
330,NBL,17,38,5278284,28,73,Energy,HIGH,GROWTH,BUDGET
331,NCLH,39,59,2132651,51,38,Consumer Discretionary,LOW,GROWTH,BUDGET
332,NDAQ,75,97,900409,89,24,Financials,LOW,STABLE,BUDGET
333,NEE,155,196,1983310,173,23,Utilities,LOW,STABLE,ANY
334,NEM,29,42,6883726,35,37,Materials,HIGH,STABLE,BUDGET
335,NFLX,231,423,10905464,340,56,Communication Services,HIGH,GROWTH,ANY
336,NI,23,29,3149110,26,22,Utilities,HIGH,STABLE,BUDGET
337,NKE,65,89,6964210,78,30,Consumer Discretionary,HIGH,STABLE,BUDGET
338,NKTR,29,105,2654746,51,148,Health Care,HIGH,GROWTH,BUDGET
339,NLSN,21,35,4457116,27,52,Industrials,HIGH,GROWTH,BUDGET
340,NOC,224,360,1206117,294,46,Industrials,LOW,GROWTH,ANY
341,NRG,30,44,4363756,37,37,Utilities,HIGH,STABLE,BUDGET
342,NSC,133,197,1867131,166,38,Industrials,LOW,GROWTH,ANY
343,NTAP,55,88,2886488,73,46,Information Technology,HIGH,GROWTH,BUDGET
344,NTRS,76,116,1219337,99,40,Financials,LOW,GROWTH,BUDGET
345,NUE,50,69,2443150,61,31,Materials,HIGH,STABLE,BUDGET
346,NVDA,124,293,13512505,212,80,Information Technology,HIGH,GROWTH,ANY
